MONTH,TYPE,CIRCLE,DIVISION,SUB_DIVISION,SAMPLE,POWEROFF_PREV,KWH_PREV,ESO_PREV,POWEROFF_CURR,KWH_CURR,ESO_CURR,PER_CHANGE
202402,WC  ,"CWL, NJF, JFP, MITRAON",2621 - (MITRAON),,667,15.90,"4,05,181","9,171",16.57,"3,75,148","7,553",4.21%
202402,WC  ,DWK,2661,,"2,662",3.87,"22,23,427","14,462",2.00,"23,93,594","8,334",-48.32%
202402,WC  ,JKP,2610,,"8,241",3.05,"65,37,234","30,160",2.24,"69,55,959","22,258",-26.56%
202402,WC  ,"KHP, SVR, NFC",2511,,704,3.41,"11,18,536","5,637",4.21,"11,74,879","7,763",23.46%
202402,WC  ,"KHP, SVR, NFC",2541,,791,5.46,"12,37,871","10,682",3.78,"12,85,470","6,709",-30.77%
202402,WC  ,"KHP, SVR, NFC",2542,,"5,938",5.54,"40,43,351","37,069",1.59,"48,67,520","11,976",-71.3%
202402,WC  ,MGN,2652,,663,6.33,"7,41,137","6,131",3.46,"7,74,047","4,103",-45.34%
202402,WC  ,NGL,2630,,"4,086",3.91,"39,54,183","27,665",3.77,"42,01,977","27,121",-3.58%
202402,WC  ,NHP,2530,,"11,155",3.77,"65,94,924","40,946",2.38,"76,73,009","26,541",-36.87%
202402,WC  ,NZM,2540,,"10,653",4.60,"61,60,737","45,698",1.69,"71,96,412","16,618",-63.26%
202402,WC  ,PJB,2640,,"7,811",4.16,"48,46,586","33,817",3.51,"52,94,719","28,073",-15.63%
202402,WC  ,PLM,2660,,"2,584",5.08,"24,07,460","19,572",2.59,"26,08,845","10,336",-49.02%
202402,WC  ,"RKP, HKS",2550,,"6,883",3.28,"52,66,770","29,315",1.70,"63,74,065","17,074",-48.17%
202402,WC  ,"RKP, HKS",2551,,"14,888",4.18,"81,47,723","52,870",2.12,"99,26,127","33,083",-49.28%
202402,WC  ,SKT,2520,,"9,741",3.33,"57,73,874","29,209",2.32,"69,36,114","23,806",-30.33%
